destination_id,source_id,airline,airlineid,source_name,destination_name,id_codeshare,stops,equipment,name.x,city.x,country.x,IATA.x,ICAO.x,latitude.x,longitude.x,altitude.x,timeZone.x,DST.x,timezone_format.x,type.x,source.x,name.y,city.y,country.y,IATA.y,ICAO.y,latitude.y,longitude.y,altitude.y,timeZone.y,DST.y,timezone_format.y,type.y,source.y
3390,3375,PN,12978,CGO,TAO,,0,320,Zhengzhou Xinzheng International Airport,Zhengzhou,China,CGO,ZHCC,34.5196990967,113.841003418,495,8,U,Asia/Shanghai,airport,OurAirports,Liuting Airport,Qingdao,China,TAO,ZSQD,36.2661018372,120.374000549,33,8,U,Asia/Shanghai,airport,OurAirports
3390,3404,SC,4599,DLC,TAO,,0,738 CR2,Zhoushuizi Airport,Dalian,China,DLC,ZYTL,38.9656982421875,121.539001464844,107,8,U,Asia/Shanghai,airport,OurAirports,Liuting Airport,Qingdao,China,TAO,ZSQD,36.2661018372,120.374000549,33,8,U,Asia/Shanghai,airport,OurAirports
3390,4380,MF,5484,CGQ,TAO,,0,737,Longjia Airport,Changchun,China,CGQ,ZYCC,43.9962005615,125.684997559,706,8,U,Asia/Shanghai,airport,OurAirports,Liuting Airport,Qingdao,China,TAO,ZSQD,36.2661018372,120.374000549,33,8,U,Asia/Shanghai,airport,OurAirports
3390,4144,MF,5484,SHE,TAO,,0,737,Taoxian Airport,Shenyang,China,SHE,ZYTX,41.6398010253906,123.483001708984,198,8,U,Asia/Shanghai,airport,OurAirports,Liuting Airport,Qingdao,China,TAO,ZSQD,36.2661018372,120.374000549,33,8,U,Asia/Shanghai,airport,OurAirports
3390,9845,MU,1758,DQA,TAO,,0,320,Saertu Airport,Daqing,China,DQA,ZYDQ,46.7463888889,125.140555556,496,8,N,Asia/Shanghai,airport,OurAirports,Liuting Airport,Qingdao,China,TAO,ZSQD,36.2661018372,120.374000549,33,8,U,Asia/Shanghai,airport,OurAirports
3390,3386,MF,5484,HGH,TAO,,0,737,Hangzhou Xiaoshan International Airport,Hangzhou,China,HGH,ZSHC,30.2294998168945,120.43399810791,23,8,U,Asia/Shanghai,airport,OurAirports,Liuting Airport,Qingdao,China,TAO,ZSQD,36.2661018372,120.374000549,33,8,U,Asia/Shanghai,airport,OurAirports
3390,6429,NS,16136,SHP,TAO,,0,E90,Shanhaiguan Airport,Qinhuangdao,China,SHP,ZBSH,39.968102,119.731003,30,8,N,Asia/Shanghai,airport,OurAirports,Liuting Airport,Qingdao,China,TAO,ZSQD,36.2661018372,120.374000549,33,8,U,Asia/Shanghai,airport,OurAirports
3390,3391,FM,4609,SHA,TAO,,0,737,Shanghai Hongqiao International Airport,Shanghai,China,SHA,ZSSS,31.1979007720947,121.335998535156,10,8,U,Asia/Shanghai,airport,OurAirports,Liuting Airport,Qingdao,China,TAO,ZSQD,36.2661018372,120.374000549,33,8,U,Asia/Shanghai,airport,OurAirports
3390,3406,9C,15999,PVG,TAO,,0,320,Shanghai Pudong International Airport,Shanghai,China,PVG,ZSPD,31.1434001922607,121.805000305176,13,8,U,Asia/Shanghai,airport,OurAirports,Liuting Airport,Qingdao,China,TAO,ZSQD,36.2661018372,120.374000549,33,8,U,Asia/Shanghai,airport,OurAirports
3390,3375,GS,690,CGO,TAO,,0,E90,Zhengzhou Xinzheng International Airport,Zhengzhou,China,CGO,ZHCC,34.5196990967,113.841003418,495,8,U,Asia/Shanghai,airport,OurAirports,Liuting Airport,Qingdao,China,TAO,ZSQD,36.2661018372,120.374000549,33,8,U,Asia/Shanghai,airport,OurAirports
3390,3404,CA,751,DLC,TAO,Y,0,738 CR2,Zhoushuizi Airport,Dalian,China,DLC,ZYTL,38.9656982421875,121.539001464844,107,8,U,Asia/Shanghai,airport,OurAirports,Liuting Airport,Qingdao,China,TAO,ZSQD,36.2661018372,120.374000549,33,8,U,Asia/Shanghai,airport,OurAirports
3390,3368,CA,751,TSN,TAO,Y,0,738 CR7,Tianjin Binhai International Airport,Tianjin,China,TSN,ZBTJ,39.1244010925,117.346000671,10,8,U,Asia/Shanghai,airport,OurAirports,Liuting Airport,Qingdao,China,TAO,ZSQD,36.2661018372,120.374000549,33,8,U,Asia/Shanghai,airport,OurAirports
3390,3406,SC,4599,PVG,TAO,,0,738,Shanghai Pudong International Airport,Shanghai,China,PVG,ZSPD,31.1434001922607,121.805000305176,13,8,U,Asia/Shanghai,airport,OurAirports,Liuting Airport,Qingdao,China,TAO,ZSQD,36.2661018372,120.374000549,33,8,U,Asia/Shanghai,airport,OurAirports
3390,6412,SC,4599,JNZ,TAO,,0,CR7,Jinzhou Airport,Jinzhou,China,JNZ,ZYJZ,41.1013984680176,121.061996459961,0,8,U,Asia/Shanghai,airport,OurAirports,Liuting Airport,Qingdao,China,TAO,ZSQD,36.2661018372,120.374000549,33,8,U,Asia/Shanghai,airport,OurAirports
3390,3371,ZH,4611,CSX,TAO,,0,738,Changsha Huanghua International Airport,Changcha,China,CSX,ZGHA,28.1891994476,113.220001221,217,8,U,Asia/Shanghai,airport,OurAirports,Liuting Airport,Qingdao,China,TAO,ZSQD,36.2661018372,120.374000549,33,8,U,Asia/Shanghai,airport,OurAirports
3390,3371,BK,4026,CSX,TAO,,0,738,Changsha Huanghua International Airport,Changcha,China,CSX,ZGHA,28.1891994476,113.220001221,217,8,U,Asia/Shanghai,airport,OurAirports,Liuting Airport,Qingdao,China,TAO,ZSQD,36.2661018372,120.374000549,33,8,U,Asia/Shanghai,airport,OurAirports
3390,3376,HU,2660,WUH,TAO,,0,738,Wuhan Tianhe International Airport,Wuhan,China,WUH,ZHHH,30.7838,114.208,113,8,U,Asia/Shanghai,airport,OurAirports,Liuting Airport,Qingdao,China,TAO,ZSQD,36.2661018372,120.374000549,33,8,U,Asia/Shanghai,airport,OurAirports
3390,3400,MU,1758,HRB,TAO,,0,321 320,Taiping Airport,Harbin,China,HRB,ZYHB,45.6234016418457,126.25,457,8,U,Asia/Shanghai,airport,OurAirports,Liuting Airport,Qingdao,China,TAO,ZSQD,36.2661018372,120.374000549,33,8,U,Asia/Shanghai,airport,OurAirports
3390,3370,CZ,1767,CAN,TAO,,0,738 321 320 319,Guangzhou Baiyun International Airport,Guangzhou,China,CAN,ZGGG,23.3924007415771,113.299003601074,50,8,U,Asia/Shanghai,airport,OurAirports,Liuting Airport,Qingdao,China,TAO,ZSQD,36.2661018372,120.374000549,33,8,U,Asia/Shanghai,airport,OurAirports
3390,3376,MU,1758,WUH,TAO,,0,738 320,Wuhan Tianhe International Airport,Wuhan,China,WUH,ZHHH,30.7838,114.208,113,8,U,Asia/Shanghai,airport,OurAirports,Liuting Airport,Qingdao,China,TAO,ZSQD,36.2661018372,120.374000549,33,8,U,Asia/Shanghai,airport,OurAirports
3390,3375,CZ,1767,CGO,TAO,,0,738,Zhengzhou Xinzheng International Airport,Zhengzhou,China,CGO,ZHCC,34.5196990967,113.841003418,495,8,U,Asia/Shanghai,airport,OurAirports,Liuting Airport,Qingdao,China,TAO,ZSQD,36.2661018372,120.374000549,33,8,U,Asia/Shanghai,airport,OurAirports
3390,3394,CZ,1767,KWE,TAO,,0,738,Longdongbao Airport,Guiyang,China,KWE,ZUGY,26.5384998321533,106.801002502441,3736,8,U,Asia/Shanghai,airport,OurAirports,Liuting Airport,Qingdao,China,TAO,ZSQD,36.2661018372,120.374000549,33,8,U,Asia/Shanghai,airport,OurAirports
3390,3379,HU,2660,XIY,TAO,,0,738,Xi'an Xianyang International Airport,Xi'an,China,XIY,ZLXY,34.447102,108.751999,1572,8,U,Asia/Shanghai,airport,OurAirports,Liuting Airport,Qingdao,China,TAO,ZSQD,36.2661018372,120.374000549,33,8,U,Asia/Shanghai,airport,OurAirports
3390,3400,HU,2660,HRB,TAO,,0,738,Taiping Airport,Harbin,China,HRB,ZYHB,45.6234016418457,126.25,457,8,U,Asia/Shanghai,airport,OurAirports,Liuting Airport,Qingdao,China,TAO,ZSQD,36.2661018372,120.374000549,33,8,U,Asia/Shanghai,airport,OurAirports
3390,6413,MU,1758,NDG,TAO,Y,0,737,Qiqihar Sanjiazi Airport,Qiqihar,China,NDG,ZYQQ,47.2396011352539,123.917999267578,477,8,U,Asia/Shanghai,airport,OurAirports,Liuting Airport,Qingdao,China,TAO,ZSQD,36.2661018372,120.374000549,33,8,U,Asia/Shanghai,airport,OurAirports
3390,4380,ZH,4611,CGQ,TAO,Y,0,319,Longjia Airport,Changchun,China,CGQ,ZYCC,43.9962005615,125.684997559,706,8,U,Asia/Shanghai,airport,OurAirports,Liuting Airport,Qingdao,China,TAO,ZSQD,36.2661018372,120.374000549,33,8,U,Asia/Shanghai,airport,OurAirports
3390,6413,FM,4609,NDG,TAO,,0,737,Qiqihar Sanjiazi Airport,Qiqihar,China,NDG,ZYQQ,47.2396011352539,123.917999267578,477,8,U,Asia/Shanghai,airport,OurAirports,Liuting Airport,Qingdao,China,TAO,ZSQD,36.2661018372,120.374000549,33,8,U,Asia/Shanghai,airport,OurAirports
3390,4380,CZ,1767,CGQ,TAO,,0,321 320 738,Longjia Airport,Changchun,China,CGQ,ZYCC,43.9962005615,125.684997559,706,8,U,Asia/Shanghai,airport,OurAirports,Liuting Airport,Qingdao,China,TAO,ZSQD,36.2661018372,120.374000549,33,8,U,Asia/Shanghai,airport,OurAirports
3390,3368,GS,690,TSN,TAO,,0,E90,Tianjin Binhai International Airport,Tianjin,China,TSN,ZBTJ,39.1244010925,117.346000671,10,8,U,Asia/Shanghai,airport,OurAirports,Liuting Airport,Qingdao,China,TAO,ZSQD,36.2661018372,120.374000549,33,8,U,Asia/Shanghai,airport,OurAirports
