World_Bank_Name,Health_exp_pct_GDP_2016,Health_exp_public_pct_2016,Health_exp_out_of_pocket_pct_2016,Health_exp_per_capita_USD_2016,per_capita_exp_PPP_2016,External_health_exp_pct_2016,Physicians_per_1000_2009.18,Nurse_midwife_per_1000_2009.18,Specialist_surgical_per_1000_2008.18,Completeness_of_birth_reg_2009.18,Completeness_of_death_reg_2008.16,alpha_2,alpha_3,numeric,latitude,longitude
Sudan,5.7,19.5,73.9,152,297.9,2.2,0.4,0.8,2.7,67,-99,192,189,736,15,30
Suriname,6.1,69.4,21.8,356.1,907.6,1.4,1.2,4.1,-99,99,100,203,204,740,4,-56
Sweden,10.9,83.5,15.2,5710.6,5386.7,-99,5.4,11.5,113.1,100,100,193,207,752,62,15
Switzerland,12.2,62.8,29.6,9836,7867.4,-99,4.2,17.3,94.8,100,100,41,40,756,47,8
Syrian Arab Republic,-99,-99,-99,-99,-99,-99,1.2,1.5,-99,-99,92,207,210,760,35,38
Tajikistan,7,28.6,66.1,55.7,208.5,5.1,1.7,5.2,41.7,95.8,-99,214,215,762,39,71
Tanzania,4.1,40.6,21.9,35.5,112,36.4,0,0.4,0.5,26.4,-99,-99,-99,-99,-99,-99
Thailand,3.7,78.1,12.1,221.9,635,0.2,0.8,3,13.1,100,-99,213,214,764,15,100
Timor-Leste,4,55.8,8.9,79.9,121.7,31.6,0.7,1.7,0.9,60.4,-99,216,218,626,-8.55,125.5167
Togo,6.6,20,50.4,38.8,99.9,20.7,0,0.3,0.5,78,-99,212,213,768,8,1.1667
Tonga,5.3,65.9,11,203.2,311.4,19.4,0.5,3.9,14,93,-99,219,219,776,-20,-175
Trinidad and Tobago,6.5,52.8,40.1,1063.8,2180.5,0.1,2.7,3.5,30.9,97,85,221,220,780,11,-61
Tunisia,7,56.6,39.9,256.5,806.3,0.1,1.3,2.6,11.5,99,37,218,221,788,34,9
Turkey,4.3,78.4,16.5,468.6,1089.2,-99,1.8,2.6,47.6,99,78,220,222,792,39,35
Turkmenistan,6.6,18.5,76.2,422.8,1116.9,0.2,2.2,4.6,58.8,100,-99,217,217,795,40,60
Turks and Caicos Islands,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,209,211,796,21.75,-71.5833
Tuvalu,15.5,84.5,0.7,507.4,601,12.2,0.9,3.8,26.1,-99,-99,222,223,798,-8,178
Uganda,6.2,16.6,40.3,37.6,117.1,40.4,0.1,0.6,1.1,32.2,-99,226,226,800,1,32
Ukraine,6.7,42.4,54.3,141.2,534.2,0.8,3,7.1,86.6,100,99,225,227,804,49,32
United Arab Emirates,3.5,72.5,18.6,1323.1,2546.2,0,2.4,5.6,-99,100,87,2,8,784,24,54
United Kingdom,9.8,80.2,15.1,3958,4177.8,0,2.8,8.3,133.3,100,100,74,77,826,54,-2
United States,17.1,81.8,11.1,9869.7,9869.7,0,2.6,8.6,54.7,100,98,228,230,840,38,-97
Uruguay,9.1,71.7,17.4,1379.1,1958.9,0,5,1.9,38.9,100,99,229,229,858,-33,-56
Uzbekistan,6.3,46.1,52.2,135.1,416.9,1.2,2.4,12.1,50.4,-99,-99,230,231,860,41,64
Vanuatu,3.7,53.9,8.4,109.8,116.1,34.6,0.2,1.4,3.2,43,-99,237,238,548,-16,167
Venezuela. RB,3.2,24.1,40,1578.4,940,0,-99,-99,18.1,81,100,-99,-99,-99,-99,-99
Vietnam,5.7,47.4,44.6,122.8,356.3,2.3,0.8,1.4,-99,96,-99,236,237,704,16,106
Virgin Islands (U.S.),-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
West Bank and Gaza,-99,-99,-99,-99,-99,-99,-99,-99,-99,96,-99,-99,-99,-99,-99,-99
Yemen. Rep.,5.6,10.2,81,72,144.5,7.8,0.3,0.7,0.8,30.7,-99,-99,-99,-99,-99,-99
Zambia,4.5,38.3,12.1,56.5,175.2,42.5,0.1,0.9,1.5,11.3,-99,243,243,894,-15,30
Zimbabwe,9.4,46.5,21.2,93.9,185,25.4,0.1,1.2,1.6,38,-99,244,244,716,-20,30
