origin.name,origin.code,gender.name,gender.code,dest.name,dest.code,1960,1970,1980,1990,2000,origin.lat,origin.lon,dest.lat,dest.lon
Croatia,HRV,Female,FEM,Cameroon,CMR,3020,3854,3856,5513,5643,45.1,15.2,7.369722,12.354722
Croatia,HRV,Female,FEM,Guinea,GIN,3020,3854,5681,3437,4858,45.1,15.2,9.945587,-9.696645
Cuba,CUB,Female,FEM,Colombia,COL,3754,4079,3948,3338,6114,21.521757,-77.781167,4.570868,-74.297333
Cyprus,CYP,Female,FEM,Germany,DEU,4616,3899,4052,4710,6381,35.126413,33.429859,51.165691,10.451526
Cyprus,CYP,Female,FEM,Hungary,HUN,4488,3899,3982,3873,4193,35.126413,33.429859,47.162494,19.503304
Cyprus,CYP,Female,FEM,Ireland,IRL,3020,3854,5681,5969,7130,35.126413,33.429859,53.41291,-8.24389
Cyprus,CYP,Female,FEM,Zimbabwe,ZWE,3317,5173,5709,6282,6800,35.126413,33.429859,-19.015438,29.154857
Czech Republic,CZE,Female,FEM,Colombia,COL,3560,4184,4491,4777,5119,49.817492,15.472962,4.570868,-74.297333
Czech Republic,CZE,Female,FEM,Israel,ISR,4592,5524,5936,4495,3895,49.817492,15.472962,31.046051,34.851612
Czech Republic,CZE,Female,FEM,Italy,ITA,4377,4767,5667,6869,5652,49.817492,15.472962,41.87194,12.56738
Denmark,DNK,Female,FEM,Austria,AUT,4888,3212,4604,4754,6821,56.26392,9.501785,47.516231,14.550072
Denmark,DNK,Female,FEM,Cameroon,CMR,3263,3899,3925,5418,5569,56.26392,9.501785,7.369722,12.354722
Denmark,DNK,Female,FEM,Chad,TCD,3020,3366,4439,4966,6287,56.26392,9.501785,15.454166,18.732207
Denmark,DNK,Female,FEM,Colombia,COL,3713,4133,4113,3790,4089,56.26392,9.501785,4.570868,-74.297333
Denmark,DNK,Female,FEM,Israel,ISR,3519,4289,5681,4316,7738,56.26392,9.501785,31.046051,34.851612
Denmark,DNK,Female,FEM,New Zealand,NZL,3818,4104,4823,5653,6732,56.26392,9.501785,-40.900557,174.885971
Denmark,DNK,Female,FEM,Romania,ROU,4427,4514,4270,3790,3229,56.26392,9.501785,45.943161,24.96676
Denmark,DNK,Female,FEM,South Africa,ZAF,3287,3894,4797,4227,5584,56.26392,9.501785,-30.559482,22.937506
Denmark,DNK,Female,FEM,Tanzania,TZA,3235,3493,4384,4709,3895,56.26392,9.501785,-6.369028,34.888822
Denmark,DNK,Female,FEM,Togo,TGO,3643,4881,5645,6474,7418,56.26392,9.501785,8.619543,0.824782
Denmark,DNK,Female,FEM,Zimbabwe,ZWE,3069,5091,5616,6151,6702,56.26392,9.501785,-19.015438,29.154857
Djibouti,DJI,Female,FEM,Ethiopia,ETH,4235,4607,5503,6462,7474,11.825138,42.590275,9.145,40.489673
Dominica,DMA,Female,FEM,Aruba,ABW,4512,4773,5276,7060,7545,15.414999,-61.370976,12.52111,-69.968338
Dominica,DMA,Female,FEM,United Kingdom,GBR,3317,4514,5077,5514,7882,15.414999,-61.370976,55.378051,-3.435973
Ecuador,ECU,Female,FEM,Guatemala,GTM,3597,4041,4740,4551,5644,-1.831239,-78.183406,15.783471,-90.230759
Ecuador,ECU,Female,FEM,Panama,PAN,3622,4595,4511,6312,7354,-1.831239,-78.183406,8.537981,-80.782127
Ecuador,ECU,Female,FEM,Trinidad and Tobago,TTO,3903,3854,5318,5513,3868,-1.831239,-78.183406,10.691803,-61.222503
El Salvador,SLV,Female,FEM,France,FRA,3209,3620,3648,3606,7195,13.794185,-88.89653,46.227638,2.213749
Equatorial Guinea,GNQ,Female,FEM,Chad,TCD,3903,4665,5681,6394,7658,1.650801,10.267895,15.454166,18.732207
Equatorial Guinea,GNQ,Female,FEM,Zimbabwe,ZWE,3519,5281,5681,6394,6799,1.650801,10.267895,-19.015438,29.154857
Eritrea,ERI,Female,FEM,Canada,CAN,4488,3626,5833,3773,3021,15.179384,39.782334,56.130366,-106.346771
Estonia,EST,Female,FEM,Argentina,ARG,4971,4707,4329,6320,7658,58.595272,25.013607,-38.416097,-63.616672
Estonia,EST,Female,FEM,Bulgaria,BGR,3903,4289,4914,5513,3869,58.595272,25.013607,42.733883,25.48583
Estonia,EST,Female,FEM,Czech Republic,CZE,3480,4041,4915,4217,4859,58.595272,25.013607,49.817492,15.472962
Estonia,EST,Female,FEM,Hungary,HUN,4638,3849,4271,4362,4877,58.595272,25.013607,47.162494,19.503304
Estonia,EST,Female,FEM,South Africa,ZAF,3118,3947,4988,3523,3075,58.595272,25.013607,-30.559482,22.937506
Estonia,EST,Female,FEM,Switzerland,CHE,3431,4289,4113,6945,7584,58.595272,25.013607,46.818188,8.227512
Estonia,EST,Female,FEM,United Kingdom,GBR,4544,4291,3875,3586,3368,58.595272,25.013607,55.378051,-3.435973
Ethiopia,ETH,Female,FEM,Hungary,HUN,4538,3855,4270,4395,4859,9.145,40.489673,47.162494,19.503304
Fiji,FJI,Female,FEM,American Samoa,ASM,4241,4665,5681,5970,7035,-16.578193,179.414413,-14.270972,-170.132217
Fiji,FJI,Female,FEM,Vanuatu,VUT,4304,5311,5276,6474,4298,-16.578193,179.414413,-15.376706,166.959158
Finland,FIN,Female,FEM,Indonesia,IDN,4803,4289,4439,5513,5643,61.92411,25.748151,-0.789275,113.921327
Finland,FIN,Female,FEM,Panama,PAN,3903,3854,5681,4250,6287,61.92411,25.748151,8.537981,-80.782127
France,FRA,Female,FEM,Aruba,ABW,3021,3173,3495,5081,7695,46.227638,2.213749,12.52111,-69.968338
France,FRA,Female,FEM,Brazil,BRA,3651,3718,4456,3760,4376,46.227638,2.213749,-14.235004,-51.92528
France,FRA,Female,FEM,Cambodia,KHM,3473,3469,4914,5081,4155,46.227638,2.213749,12.565679,104.990963
France,FRA,Female,FEM,Central African Republic,CAF,4467,3508,5997,6945,3844,46.227638,2.213749,6.611111,20.939444
France,FRA,Female,FEM,Colombia,COL,3954,4716,5224,5819,7199,46.227638,2.213749,4.570868,-74.297333
France,FRA,Female,FEM,Liberia,LBR,3597,5485,4870,5660,6288,46.227638,2.213749,6.428055,-9.429499
France,FRA,Female,FEM,Luxembourg,LUX,3960,4424,5495,6197,7971,46.227638,2.213749,49.815273,6.129583
