eventid,iyear,imonth,iday,country_txt,region_txt,provstate,city,latitude,longitude,nkill
2.02E+11,2017,11,18,Nigeria,Sub-Saharan Africa,Borno,Alakaramtii,11.940921,13.253357,2
2.02E+11,2017,8,23,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.876407,13.25204,1
2.02E+11,2017,8,23,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.876407,13.25204,1
2.02E+11,2017,10,29,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.868845,13.251158,2
2.02E+11,2017,7,15,Nigeria,Sub-Saharan Africa,Borno,Muna Delti,11.871625,13.250653,1
2.02E+11,2017,10,29,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.874471,13.250614,1
2.02E+11,2017,10,22,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.873019,13.250558,14
2.02E+11,2017,4,2,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.873005,13.250529,2
2.02E+11,2017,4,26,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.873005,13.250529,1
2.02E+11,2017,9,7,Nigeria,Sub-Saharan Africa,Borno,Khaddamari,11.954444,13.250278,5
2.02E+11,2017,5,3,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.87308,13.250249,3
2.02E+11,2017,8,25,Angola,Sub-Saharan Africa,Luanda,Luanda,-8.814716,13.247411,0
2.02E+11,2017,8,12,Nigeria,Sub-Saharan Africa,Borno,Jere district,11.932906,13.244323,2
2.02E+11,2017,4,2,Nigeria,Sub-Saharan Africa,Borno,Dusuman,11.930569,13.243972,1
2.02E+11,2017,5,29,Nigeria,Sub-Saharan Africa,Borno,Nguru Nguro,11.64816,13.243356,5
2.02E+11,2017,9,7,Nigeria,Sub-Saharan Africa,Borno,Dusuman,11.930278,13.243333,4
2.02E+11,2017,3,22,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.869216,13.242855,2
2.02E+11,2017,11,18,Nigeria,Sub-Saharan Africa,Borno,Alakaramtii,11.93363,13.235811,4
2.02E+11,2017,6,5,Libya,Middle East & North Africa,Jafara,Warshefana,32.721927,13.232287,-99
2.02E+11,2017,7,24,Nigeria,Sub-Saharan Africa,Borno,Alau,11.726953,13.231723,7
2.02E+11,2017,10,30,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.949256,13.22627,6
2.02E+11,2017,7,31,Nigeria,Sub-Saharan Africa,Borno,Kwang,10.843611,13.224722,0
2.02E+11,2017,9,27,Nigeria,Sub-Saharan Africa,Borno,Ajidari,12.881665,13.220183,1
2.02E+11,2017,9,27,Nigeria,Sub-Saharan Africa,Borno,Goram,12.881199,13.220183,1
2.02E+11,2017,10,12,Nigeria,Sub-Saharan Africa,Borno,Belbelu,11.636077,13.217856,6
2.02E+11,2017,8,23,Nigeria,Sub-Saharan Africa,Borno,Kote,12.490933,13.212827,4
2.02E+11,2017,8,23,Nigeria,Sub-Saharan Africa,Borno,Abachari,12.490133,13.212557,3
2.02E+11,2017,8,23,Nigeria,Sub-Saharan Africa,Borno,Wokilli,12.492112,13.212357,4
2.02E+11,2017,8,23,Nigeria,Sub-Saharan Africa,Borno,Uda Lawanti,12.491701,13.212083,4
2.02E+11,2017,3,24,Nigeria,Sub-Saharan Africa,Borno,Kalari,11.575201,13.211889,-99
2.02E+11,2017,2,22,Nigeria,Sub-Saharan Africa,Borno,Gajiram,12.486937,13.2086,10
2.02E+11,2017,7,17,Nigeria,Sub-Saharan Africa,Borno,Mammanti,11.899768,13.203335,2
2.02E+11,2017,9,2,Niger,Sub-Saharan Africa,Diffa,Koutou,14.277225,13.200424,1
2.02E+11,2017,1,12,Libya,Middle East & North Africa,Tripoli,Tripoli,32.867867,13.189067,0
2.02E+11,2017,1,12,Libya,Middle East & North Africa,Tripoli,Tripoli,32.867867,13.189067,0
2.02E+11,2017,1,16,Libya,Middle East & North Africa,Tripoli,Tripoli,32.867867,13.189067,-99
2.02E+11,2017,1,21,Libya,Middle East & North Africa,Tripoli,Tripoli,32.867867,13.189067,2
