iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,month,country,alpha_2,numeric,latitude,longitude,year
RUS,Europe,Russia,2020-02-29,2,0,0,NA,NA,0,0.014,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.33,145934460,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,NA,8.05,72.58,0.824,02,Russia, RU,643,60,100,2020
SMR,Europe,San Marino,2020-02-29,1,0,NA,NA,NA,NA,29.465,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.78,33938,556.667,NA,NA,NA,56861.47,NA,NA,5.64,NA,NA,NA,3.8,84.97,NA,02,San Marino, SM,674,43.7667,12.4167,2020
SEN,Africa,Senegal,2020-02-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,16743930,82.328,18.7,3.008,1.796,2470.58,38,241.219,2.42,0.4,16.6,20.859,NA,67.94,0.512,02,Senegal, SN,686,14,-14,2020
SRB,Europe,Serbia,2020-02-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,33,0.005,0,NA,NA,NA,NA,people tested,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.89,6804596,80.291,41.2,17.366,NA,14048.881,NA,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,02,Serbia, RS,688,44,21,2020
SGP,Asia,Singapore,2020-02-29,102,9,2.429,NA,NA,0,17.435,1.538,0.415,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.56,5850343,7915.731,42.4,12.922,7.049,85535.383,NA,92.243,10.99,5.2,28.3,NA,2.4,83.62,0.938,02,Singapore, SG,702,1.3667,103.8,2020
SVN,Europe,Slovenia,2020-02-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,194,0.093,0.008,25,0.012,0,NA,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2078932,102.619,44.5,19.062,12.93,31400.84,NA,153.493,7.25,20.1,25,NA,4.5,81.32,0.917,02,Slovenia, SI,705,46,15,2020
ZAF,Africa,South Africa,2020-02-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,NA,NA,people tested,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78,59308690,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709,02,South Africa, ZA,710,-29,24,2020
KOR,Asia,South Korea,2020-02-29,3150,813,388.143,16,3,2,61.44,15.857,7.571,0.312,0.059,0.039,2.55,NA,NA,NA,NA,NA,NA,NA,NA,14753,85693,1.671,0.288,9439,0.184,0.041,24.3,people tested,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.56,51269183,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,NA,12.27,83.03,0.916,02,Korea, Republic of, KR,410,37,127.5,2020
KOR,Asia,South Korea,2020-02-29,3150,813,388.143,16,3,2,61.44,15.857,7.571,0.312,0.059,0.039,2.55,NA,NA,NA,NA,NA,NA,NA,NA,14753,85693,1.671,0.288,9439,0.184,0.041,24.3,people tested,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.56,51269183,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,NA,12.27,83.03,0.916,02,South Korea, KR,410,37,127.5,2020
ESP,Europe,Spain,2020-02-29,45,13,6.143,NA,NA,0,0.962,0.278,0.131,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,46754783,93.105,45.5,19.436,13.799,34272.36,1,99.403,7.17,27.4,31.4,NA,2.97,83.56,0.904,02,Spain, ES,724,40,-4,2020
LKA,Asia,Sri Lanka,2020-02-29,1,0,0,NA,NA,0,0.047,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,14,0.001,0,2,0,0,NA,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,21413250,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27,NA,3.6,76.98,0.782,02,Sri Lanka, LK,144,7,81,2020
SWE,Europe,Sweden,2020-02-29,14,3,1.857,NA,NA,0,1.386,0.297,0.184,NA,NA,0,NA,0,0,1,0.099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,NA,2.22,82.8,0.945,02,Sweden, SE,752,62,15,2020
CHE,Europe,Switzerland,2020-02-29,18,10,NA,NA,NA,NA,2.08,1.155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.44,8654618,214.243,43.1,18.436,12.644,57410.166,NA,99.739,5.59,22.6,28.9,NA,4.53,83.78,0.955,02,Switzerland, CH,756,47,8,2020
TWN,Asia,Taiwan,2020-02-29,39,5,1.857,1,0,0,1.638,0.21,0.078,0.042,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,511,10829,0.455,0.021,508,0.021,0.004,273.6,people tested,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.15,23816775,NA,42.2,NA,8.353,NA,NA,103.957,NA,NA,NA,NA,NA,80.46,NA,02,Taiwan, Province of China, TW,158,23.5,121,2020
TWN,Asia,Taiwan,2020-02-29,39,5,1.857,1,0,0,1.638,0.21,0.078,0.042,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,511,10829,0.455,0.021,508,0.021,0.004,273.6,people tested,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.15,23816775,NA,42.2,NA,8.353,NA,NA,103.957,NA,NA,NA,NA,NA,80.46,NA,02,Taiwan, TW,158,23.5,121,2020
THA,Asia,Thailand,2020-02-29,42,1,1,NA,NA,0,0.602,0.014,0.014,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,731,9088,0.13,0.01,732,0.01,0.004,250,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,69799978,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,02,Thailand, TH,764,15,100,2020
ARE,Asia,United Arab Emirates,2020-02-29,21,2,1.143,NA,NA,0,2.123,0.202,0.116,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1494,0.151,0.001,1307.1,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.33,9890400,112.442,34,1.144,0.526,67293.483,NA,317.84,17.26,1.2,37.4,NA,1.2,77.97,0.89,02,United Arab Emirates, AE,784,24,54,2020
GBR,Europe,United Kingdom,2020-02-29,61,5,5.429,NA,NA,0,0.899,0.074,0.08,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.932,02,United Kingdom, GB,826,54,-2,2020
USA,North America,United States,2020-02-29,25,8,1.286,1,1,0.143,0.076,0.024,0.004,0.003,0.003,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,0.926,02,United States, US,840,38,-97,2020
VNM,Asia,Vietnam,2020-02-29,16,0,0,NA,NA,0,0.164,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1613,0.017,NA,52,0.001,0,NA,samples tested,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.22,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,0.704,02,Viet Nam, VN,704,16,106,2020
VNM,Asia,Vietnam,2020-02-29,16,0,0,NA,NA,0,0.164,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1613,0.017,NA,52,0.001,0,NA,samples tested,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.22,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,0.704,02,Vietnam, VN,704,16,106,2020
