origin.name,origin.code,gender.name,gender.code,dest.name,dest.code,2000,origin.lat,origin.lon,dest.lat,dest.lon
Lebanon,LBN,Total,TOT,Central African Republic,CAF,7738,33.854721,35.862285,6.611111,20.939444
Lebanon,LBN,Total,TOT,Colombia,COL,7892,33.854721,35.862285,4.570868,-74.297333
Lebanon,LBN,Total,TOT,Cook Islands,COK,7658,33.854721,35.862285,-21.236736,-159.777671
Lebanon,LBN,Total,TOT,Luxembourg,LUX,7738,33.854721,35.862285,49.815273,6.129583
Lebanon,LBN,Total,TOT,Mali,MLI,7658,33.854721,35.862285,17.570692,-3.996166
Lebanon,LBN,Total,TOT,Tunisia,TUN,7658,33.854721,35.862285,33.886917,9.537499
Lesotho,LSO,Total,TOT,Norway,NOR,7658,-29.609988,28.233608,60.472024,8.468946
Lesotho,LSO,Total,TOT,Singapore,SGP,7658,-29.609988,28.233608,1.352083,103.819836
Lesotho,LSO,Total,TOT,Turkey,TUR,7658,-29.609988,28.233608,38.963745,35.243322
Lesotho,LSO,Total,TOT,Zambia,ZMB,7633,-29.609988,28.233608,-13.133897,27.849332
Liberia,LBR,Total,TOT,Benin,BEN,7752,6.428055,-9.429499,9.30769,2.315834
Liberia,LBR,Total,TOT,Czech Republic,CZE,7658,6.428055,-9.429499,49.817492,15.472962
Liberia,LBR,Total,TOT,Germany,DEU,7675,6.428055,-9.429499,51.165691,10.451526
Liberia,LBR,Total,TOT,Luxembourg,LUX,7658,6.428055,-9.429499,49.815273,6.129583
Libya,LBY,Total,TOT,Jordan,JOR,7887,26.3351,17.228331,30.585164,36.238414
Liechtenstein,LIE,Total,TOT,Ecuador,ECU,7658,47.166,9.555373,-1.831239,-78.183406
Lithuania,LTU,Total,TOT,Lebanon,LBN,7738,55.169438,23.881275,33.854721,35.862285
Lithuania,LTU,Total,TOT,Romania,ROU,7673,55.169438,23.881275,45.943161,24.96676
Luxembourg,LUX,Total,TOT,Ecuador,ECU,7658,49.815273,6.129583,-1.831239,-78.183406
Luxembourg,LUX,Total,TOT,Ireland,IRL,7659,49.815273,6.129583,53.41291,-8.24389
Luxembourg,LUX,Total,TOT,Monaco,MCO,7658,49.815273,6.129583,43.750298,7.412841
Luxembourg,LUX,Total,TOT,Norway,NOR,7695,49.815273,6.129583,60.472024,8.468946
Luxembourg,LUX,Total,TOT,Switzerland,CHE,7673,49.815273,6.129583,46.818188,8.227512
Madagascar,MDG,Total,TOT,Chile,CHL,7658,-18.766947,46.869107,-35.675147,-71.542969
Madagascar,MDG,Total,TOT,China,CHN,7658,-18.766947,46.869107,35.86166,104.195397
Madagascar,MDG,Total,TOT,Pakistan,PAK,7658,-18.766947,46.869107,30.375321,69.345116
Malawi,MWI,Total,TOT,Belize,BLZ,7658,-13.254308,34.301525,17.189877,-88.49765
Malaysia,MYS,Total,TOT,Cook Islands,COK,7658,4.210484,101.975766,-21.236736,-159.777671
Malaysia,MYS,Total,TOT,Iceland,ISL,7658,4.210484,101.975766,64.963051,-19.020835
Malaysia,MYS,Total,TOT,Latvia,LVA,7658,4.210484,101.975766,56.879635,24.603189
Malaysia,MYS,Total,TOT,Poland,POL,7658,4.210484,101.975766,51.919438,19.145136
Malaysia,MYS,Total,TOT,Sweden,SWE,7855,4.210484,101.975766,60.128161,18.643501
Malaysia,MYS,Total,TOT,Switzerland,CHE,7872,4.210484,101.975766,46.818188,8.227512
Maldives,MDV,Total,TOT,Libya,LBY,7658,3.202778,73.22068,26.3351,17.228331
Maldives,MDV,Total,TOT,Netherlands,NLD,7658,3.202778,73.22068,52.132633,5.291266
Mali,MLI,Total,TOT,Guinea,GIN,7996,17.570692,-3.996166,9.945587,-9.696645
Mali,MLI,Total,TOT,Nigeria,NGA,7666,17.570692,-3.996166,9.081999,8.675277
Malta,MLT,Total,TOT,Canada,CAN,7759,35.937496,14.375416,56.130366,-106.346771
Malta,MLT,Total,TOT,France,FRA,7861,35.937496,14.375416,46.227638,2.213749
Malta,MLT,Total,TOT,Spain,ESP,7814,35.937496,14.375416,40.463667,-3.74922
Malta,MLT,Total,TOT,Switzerland,CHE,7659,35.937496,14.375416,46.818188,8.227512
Martinique,MTQ,Total,TOT,Anguilla,AIA,7658,14.641528,-61.024174,18.220554,-63.068615
Martinique,MTQ,Total,TOT,Aruba,ABW,7658,14.641528,-61.024174,12.52111,-69.968338
Mauritania,MRT,Total,TOT,Sudan,SDN,7948,21.00789,-10.940835,12.862807,30.217636
Mauritius,MUS,Total,TOT,Ethiopia,ETH,7658,-20.348404,57.552152,9.145,40.489673
Mauritius,MUS,Total,TOT,Switzerland,CHE,7664,-20.348404,57.552152,46.818188,8.227512
Mexico,MEX,Total,TOT,Bolivia,BOL,7870,23.634501,-102.552784,-16.290154,-63.588653
Mexico,MEX,Total,TOT,Oman,OMN,7658,23.634501,-102.552784,21.512583,55.923255
Mexico,MEX,Total,TOT,United States,USA,7804,23.634501,-102.552784,37.09024,-95.712891
Moldova,MDA,Total,TOT,Chile,CHL,7658,47.411631,28.369885,-35.675147,-71.542969
Moldova,MDA,Total,TOT,Ireland,IRL,7875,47.411631,28.369885,53.41291,-8.24389
Moldova,MDA,Total,TOT,Nigeria,NGA,7658,47.411631,28.369885,9.081999,8.675277
Moldova,MDA,Total,TOT,Sweden,SWE,7917,47.411631,28.369885,60.128161,18.643501
Monaco,MCO,Total,TOT,Chile,CHL,7658,43.750298,7.412841,-35.675147,-71.542969
Monaco,MCO,Total,TOT,Indonesia,IDN,7658,43.750298,7.412841,-0.789275,113.921327
Mongolia,MNG,Total,TOT,Qatar,QAT,7658,46.862496,103.846656,25.354826,51.183884
Montserrat,MSR,Total,TOT,Australia,AUS,7658,16.742498,-62.187366,-25.274398,133.775136
Montserrat,MSR,Total,TOT,Barbados,BRB,7658,16.742498,-62.187366,13.193887,-59.543198
Montserrat,MSR,Total,TOT,Dominica,DMA,7738,16.742498,-62.187366,15.414999,-61.370976
Morocco,MAR,Total,TOT,Bulgaria,BGR,7814,31.791702,-7.09262,42.733883,25.48583
Morocco,MAR,Total,TOT,Finland,FIN,8005,31.791702,-7.09262,61.92411,25.748151
Morocco,MAR,Total,TOT,Iraq,IRQ,7978,31.791702,-7.09262,33.223191,43.679291
